,Facebook Id
0,109374689225174
17,219164568185436
24,100064675089966
26,100032362283493
59,162395605521
61,100063828481984
119,100063612215315
217,342137073040240
427,114031945310257
444,19207334536
445,673835049324830
908,101476221272421
1053,90003069469
1055,484826344940630
1057,100063518713992
1058,224720055808
1063,100064500022129
1074,219050758124219
1079,100064528336373
1085,1081793845184744
1089,111588505548270
1093,100064942201715
1095,100063568393629
1097,100047204570196
1098,22135624959
1099,154042641677570
1100,119402444767835
1102,100072338302637
1108,100064274366265
1111,100039389091215
1116,161704750515927
1118,292495704133062
1122,100064728904962
1124,373687820044646
1130,100048470082765
1135,106077358049292
1141,100058214973838
1163,100064422770051
1169,50841916703
1171,100047779934698
1182,433274906811688
1183,100063529422008
1197,208009116033770
1215,105686782528
1233,100042242544839
1269,100063528432304
1270,100064894353999
1272,110532175644815
1284,189985021065075
1291,103734968202331
1303,100064391815619
1307,302434876628885
1314,125696140846450
1323,100064847881903
1333,100063199210293
1354,109512838177
1357,1035792376542453
1358,100044150603766
1376,362104354188950
1384,100045382099013
1408,290079496796
1411,129420543776122
1414,100063863880295
1417,190663411085184
1434,51638951177
1438,862199730504403
1475,170909377046041
1502,722806891179498
1507,167161248550
1509,100064764125784
1524,100044523635861
1526,415917892554367
1527,100063997183639
1528,891775880840570
1549,100046306580925
1559,1628779117396096
1560,395089340888010
1575,100064876380286
1576,100031913936563
1587,120830102587
1611,154508414205
1613,486912498002110
1616,100064759264149
1630,1682837485279685
1646,145238015509284
1670,100057745761708
1698,521147294661560
1707,453711701470486
1709,323466967664835
1720,119880834705931
1730,161817190993158
1732,100057658286778
1752,100044328554928
1795,88482249410
1799,100044315955222
1817,155544727831917
1824,1318781674897912
1830,188761751200950
1838,100053203601869
1848,149396791748226
1859,54152275738
1865,100057968564386
1876,100064514657453
1881,100044566173772
1884,100064427124738
1904,1516919801861590
1954,100063941863936
2066,100064521587046
2074,100064619744006
2093,100063837181377
2120,238953636153283
2162,100058184077183
2168,439727259542133
2214,100063722665482
2225,100067709692753
2236,171185752905844
2263,103645309696138
2341,100064557199365
2358,405574342946638
2381,100057688152207
2463,936272616383364
2489,207492515932521
2542,100064323812481
2571,53897947223
2625,100058015962434
2644,142357122640674
2766,236435700026811
2805,46522519207
2829,262467327129518
2836,256120174491296
2867,187327613934
2883,100064855563695
2978,412892198915253
2992,100064865493466
3024,100064593526329
3025,100063523662232
3026,100063624877308
3027,100050773990054
3029,100057983023766
3031,182703588440268
3032,100057875359828
3034,269239266507720
3040,100064967970840
3041,100064288765355
3045,100044525765722
3046,100047280693675
3051,223088241682432
3053,803965236387665
3057,100064405615107
3060,507314829322638
3061,100064829231621
3062,97135633307
3067,218700425271794
3069,100050610184141
3072,193322377543792
3077,132743830088959
3092,73692454122
3093,100058033842929
3095,100063463662833
3098,100044270778073
3105,1374560786124042
3108,380330918761403
3115,100058012600213
3116,120956787576
3117,100064563554483
3118,835755009905529
3121,148188708701911
3122,119699831547424
3123,111873852235505
3124,100064333466523
3128,100050465141157
3134,100057858048294
3137,318007064961437
3140,100058117597383
3141,100058202135513
3143,100044151413686
3146,46173148400
3161,100068951508368
3162,100064877434826
3163,1640506799564002
3165,100057723174333
3168,100044767923175
3171,196349350117
3174,1926883507540101
3203,100418058216690
3236,100064896751648
3237,100057777020788
3248,100044311725239
3265,100044589872229
3270,100044573292187
3271,100058285352672
3275,100044244273234
3279,1638280403089133
3282,485146708179694
3283,101866237873578
3292,100064365206684
3299,110883755599854
3300,243209379168084
3317,158834344168114
3332,100057726175058
3339,55326701544
3383,122835101108288
3393,1683429535290799
3413,303102787243908
3427,199106283507088
3437,100058257661612
3439,507827699402105
3454,100068917311651
3455,100057998530555
3457,38012859651
3479,378094332353992
3483,100058151675043
3494,98908596258
3498,704314973103325
3541,541978342479128
3547,528521093924254
3566,100058071429947
3585,100032867846631
3608,100064836366656
3638,397673640268680
3651,108548444087863
3660,469572826465625
3673,100064100550933
3674,100064521677366
3693,1617999151813993
3695,249205648453582
3699,431255513683905
3700,100064668644592
3709,1059832334064281
3725,100050572385985
3768,100044381261277
3770,100044550848941
3812,100064556839611
3820,312417768872837
3821,225456477496171
3826,100047081833111
3831,100027318507182
3838,100044593896615
3850,116300145115003
3875,1739544889602132
3904,212349168820167
